Scenario,Start Sce,End Sce,Sat,Start sat,End Sat,Images
1,63638,63661.4,11,63638,63661.4,1
,,,,,,
2,54060,54753.4,4,54060,54083.4,1
,,,3,54390,54413.4,1
,,,2,54730,54753.4,1
,,,,,,
3,62480,63865.4,15,62480,62503.4,1
,,,14,62821,62844.4,1
,,,13,63161,63184.4,1
,,,12,63501,63524.4,1
,,,11,63842,63865.4,1
,,,,,,
4,78461,84999.4,16,78461,78507.8,2
,,,15,78801,78847.8,2
,,,14,79127,79173.8,2
,,,13,79459,79552.6,4
,,,12,79680,79914,10
,,,11,80006,80286.8,12
,,,10,80349,80629.8,12
,,,9,80681,80985.2,13
,,,8,81027,81331.2,13
,,,7,81342,81669.6,14
,,,6,81664,81991.6,14
,,,5,81995,82322.6,14
,,,4,82315,82619.2,13
,,,3,82608,82912.2,13
,,,2,82936,83193.4,11
,,,1,83263,83497,10
,,,17,83575,83809,10
,,,16,83916,84103.2,8
,,,15,84265,84358.6,4
,,,14,84613,84683.2,3
,,,13,84976,84999.4,1
,,,,,,
5,0,86400,,,,
